Source,Target,Weight,Book
nandigrama,rama,3,3
dandaka,viradha,1,3
dandaka,agastya,1,3
dandaka,indra,1,3
viradha,agastya,1,3
viradha,indra,1,3
agastya,indra,1,3
dushan,rama,1,3
dushan,ravan,1,3
maricha,ravan,3,3
raghu,jatayu,1,3
pampa,hanuman,8,3
pampa,wind-god,1,3
hanuman,wind-god,2,3
hanuman,sugriva,2,3
wind-god,sugriva,1,3
bali,rama,5,3
bali,sugriva,8,3
kishkindha,bali,1,3
kishkindha,sugriva,1,3
sampati,hanuman,2,3
sampati,lanka,1,3
lanka,ravan,2,3
lanka,asoka,2,3
lanka,sita,2,3
lanka,rama,2,3
asoka,sita,2,3
asoka,rama,2,3
brahma,rama,2,3
nala,lanka,2,3
nala,rama,1,3
nala,ravan,2,3
nala,vibhishan,2,3
vibhishan,sita,1,3
vibhishan,rama,1,3
tamasa,ganga,1,3
tamasa,bharadvaja,1,3
ganga,bharadvaja,2,3
brahma,valmiki,1,3
rama,narad,2,3
lakshman,janak,1,3
rama,dasaratha,20,3
valmiki,raghu,2,3
valmiki,narad,2,3
valmiki,rama,2,3
raghu,narad,3,3
raghu,rama,6,3
narad,rama,1,3
visvamitra,janak,1,3
janak,rama,1,3
guha,ganga,1,3
guha,bharadvaja,1,3
ganga,chitrakuta,1,3
bharadvaja,bharat,2,3
chitrakuta,bharat,1,3
bharat,rama,3,3
nandigrama,dandak,1,3
nandigrama,anasuya,1,3
nandigrama,sarabhanga,1,3
dandak,anasuya,1,3
dandak,sarabhanga,1,3
dandak,indra,1,3
anasuya,sarabhanga,1,3
anasuya,indra,1,3
anasuya,agastya,1,3
sarabhanga,indra,1,3
sarabhanga,agastya,1,3
sarabhanga,rama,1,3
sarabhanga,viradha,1,3
indra,agastya,1,3
indra,rama,4,3
indra,viradha,1,3
