Source,Target,Weight,Book,vader
upendra,vishnu,1,2,0.9432
upendra,sunahsepha,1,2,0.9432
thousand-eyed,vishnu,1,2,0.9153
thousand-eyed,sunahsepha,1,2,0.9153
visvamitra,menaka,2,2,0.7579
menaka,kusik,1,2,0.9371
vishnu,sakra,1,2,-0.7351
kusik,thousand-eyed,3,2,0.743
indra,rambha,2,2,0.34
vedas,vasishtha,1,2,0.743
vasishtha,brahma,3,2,0.9022
satananda,kusik,1,2,0.8513
satananda,janak,1,2,0.8513
kusik,janak,2,2,0.6165499999999999
devarat,nimi,1,2,0.6486
nimi,rudra,1,2,0.5106
nimi,daksha,1,2,0.5106
rudra,daksha,6,2,-0.4819333333333333
mithila,siva,2,2,0.6486
rama,sita,2,2,0.6184499999999999
sita,ayodhya,1,2,0.5574
satananda,vamadeva,1,2,0.7506
satananda,vasishtha,1,2,0.7506
vamadeva,vasishtha,1,2,0.5106
vamadeva,kausalya,1,2,0.5106
vamadeva,visvamitra,1,2,0.5106
vasishtha,kausalya,1,2,0.8316
kausalya,visvamitra,1,2,0.8519
kausalya,janak,1,2,0.8519
vasishtha,markandeya,2,2,0.743
vasishtha,katyayana,2,2,0.743
vasishtha,sumantra,2,2,0.743
vamadeva,markandeya,1,2,0.743
vamadeva,katyayana,1,2,0.743
vamadeva,sumantra,1,2,0.743
markandeya,javali,1,2,0.743
markandeya,kasyap,1,2,0.743
markandeya,katyayana,1,2,0.743
markandeya,sumantra,1,2,0.743
javali,katyayana,1,2,0.743
javali,sumantra,1,2,0.743
kasyap,katyayana,1,2,0.743
kasyap,sumantra,1,2,0.743
katyayana,sumantra,1,2,0.6324
videha,janak,2,2,0.7184
indra,raghu,1,2,0.9544
lakshman,visvamitra,1,2,0.8591
satananda,kusadhwaj,2,2,0.9584
kusadhwaj,sankasya,1,2,0.9729
kusadhwaj,pushpak,1,2,0.9729
sankasya,pushpak,2,2,0.9081
sankasya,ikshumati,2,2,0.9081
pushpak,ikshumati,1,2,0.0
indra,sankasya,1,2,0.3818
vishnu,sankasya,1,2,0.6808
mithila,satananda,2,2,0.6369
sudaman,ikshvaku,6,2,0.3456666666666666
